window_id,window_start,regime,detections,detection_rate,acceptance_rate,edge_margin_mean,stability_margin_mean,stability_eta,isolation_share,alignment_cos_mean,alignment_angle_mean,raw_detection_count,substitution_fraction,gating_mode,gating_initial,gating_accepted,gating_rejected,gating_soft_cap,gating_delta_frac,reason_code,resolved_config_path,calm_threshold,crisis_threshold,vol_signal,group_design,group_count,group_replicates,prewhiten_r2_mean,prewhiten_r2_median,prewhiten_mode_requested,prewhiten_mode_effective,prewhiten_factor_count,prewhiten_beta_abs_mean,prewhiten_beta_abs_std,prewhiten_beta_abs_median,prewhiten_factors,residual_energy_mean,acceptance_delta,group_label_counts,group_observations,vol_state_label,cov_condition_baseline,cov_condition_overlay,cov_condition_penalized,mv_condition_cap,mv_condition_flag,mv_turnover,mv_turnover_cost_bps,baseline_errors
0.0,2018-07-03T00:00:00,calm,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014765961395246479,0.018797841928449837,0.014405797889518238,vol,3,25,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:25|mid:25|crisis:25,75,calm,201.78856283873392,201.78856283873392,46.27048288134755,1000000.0,False,0.0,0.0,factor:missing factor returns;poet:insufficient observations for POET
1.0,2018-07-05T00:00:00,calm,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014764463845486306,0.018794189035241923,0.01402828966622777,vol,3,25,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:25|mid:25|crisis:25,75,calm,204.13833253328772,204.13833253328772,46.528726693687034,1000000.0,False,0.026346647546682315,0.13173323773341158,factor:missing factor returns;poet:insufficient observations for POET
2.0,2018-07-06T00:00:00,calm,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014758517631010683,0.018790536142034006,0.014088937799189556,vol,3,25,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:25|mid:25|crisis:25,75,calm,205.45089899990327,205.45089899990327,46.23764977031917,1000000.0,False,0.04547771193107349,0.22738855965536747,factor:missing factor returns;poet:insufficient observations for POET
3.0,2018-07-09T00:00:00,calm,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014697616440172534,0.018786883248826092,0.014115675332195788,vol,3,25,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:25|mid:25|crisis:25,75,calm,206.02352625588316,206.02352625588316,46.510944352616285,1000000.0,False,0.03672667719533474,0.1836333859766737,factor:missing factor returns;poet:insufficient observations for POET
4.0,2018-07-10T00:00:00,calm,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014610385579285554,0.018783230355618175,0.014200540787686565,vol,3,25,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:25|mid:25|crisis:25,75,calm,213.0864703810508,213.0864703810508,47.62796753000149,1000000.0,False,0.015250042034123647,0.07625021017061823,factor:missing factor returns;poet:insufficient observations for POET
5.0,2018-07-11T00:00:00,calm,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014604581972624205,0.01877957746241026,0.014155028568149925,vol,3,26,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:26|mid:26|crisis:26,78,calm,239.48391786077286,239.48391786077286,50.4494853789771,1000000.0,False,0.033565715649324514,0.16782857824662256,factor:missing factor returns;poet:insufficient observations for POET
6.0,2018-07-12T00:00:00,full,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014604394321935995,0.01877149894269489,0.014913712939202432,vol,3,26,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:26|mid:26|crisis:26,78,mid,264.1443964729135,264.1443964729135,55.03546173084641,1000000.0,False,0.056987681037698315,0.28493840518849156,factor:missing factor returns;poet:insufficient observations for POET
7.0,2018-07-13T00:00:00,calm,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014604441234608048,0.018763420422979512,0.0145092592417813,vol,3,26,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:26|mid:26|crisis:26,78,calm,289.61487177582154,289.61487177582154,58.10127277913698,1000000.0,False,0.02904224798907844,0.1452112399453922,factor:missing factor returns;poet:insufficient observations for POET
8.0,2018-07-16T00:00:00,calm,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014603886779210309,0.018755341903264135,0.014124713928257314,vol,3,26,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:26|mid:26|crisis:26,78,calm,290.9991438850457,290.9991438850457,58.374026657746235,1000000.0,False,0.027888707400558734,0.13944353700279366,factor:missing factor returns;poet:insufficient observations for POET
9.0,2018-07-17T00:00:00,calm,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014594503447339098,0.018747263383548762,0.013965971515494597,vol,3,26,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:26|mid:26|crisis:26,78,calm,321.82392661797496,321.82392661797496,62.64662568356693,1000000.0,False,0.04276911190680155,0.21384555953400775,factor:missing factor returns;poet:insufficient observations for POET
,,calm,0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,strict,0.0,0.0,0.0,,0.02,holdout_empty,reports/rc-20251107/vol-tyler/resolved_config.json,0.014559733900176052,0.018739184863833386,0.013897773127470037,vol,3,27,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:27|mid:27|crisis:27,81,calm,,,,,,,,
,,calm,0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,strict,0.0,0.0,0.0,,0.02,holdout_empty,reports/rc-20251107/vol-tyler/resolved_config.json,0.014539156619887415,0.018725188364478926,0.013565812072902616,vol,3,26,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:26|mid:26|crisis:26,78,calm,,,,,,,,
,,calm,0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,strict,0.0,0.0,0.0,,0.02,holdout_empty,reports/rc-20251107/vol-tyler/resolved_config.json,0.014522283902027136,0.018711191865124467,0.014051826637308364,vol,3,25,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:25|mid:25|crisis:25,75,calm,,,,,,,,
,,calm,0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,strict,0.0,0.0,0.0,,0.02,holdout_empty,reports/rc-20251107/vol-tyler/resolved_config.json,0.014512382678813553,0.018697195365770008,0.01397739539820736,vol,3,24,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:24|mid:24|crisis:24,72,calm,,,,,,,,
,,calm,0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,strict,0.0,0.0,0.0,,0.02,holdout_empty,reports/rc-20251107/vol-tyler/resolved_config.json,0.01450906532775838,0.01868319886641555,0.013828806382561891,vol,3,23,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:23|mid:23|crisis:23,69,calm,,,,,,,,
15.0,2018-07-25T00:00:00,calm,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.0145082896716667,0.01866920236706109,0.014323569440473036,vol,3,28,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:28|mid:28|crisis:28,84,calm,291.18831237854664,291.18831237854664,57.26489857765779,1000000.0,False,0.0,0.0,factor:missing factor returns;poet:insufficient observations for POET
16.0,2018-07-26T00:00:00,calm,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014488072007865985,0.01866743655267652,0.014361481650146531,vol,3,27,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:27|mid:27|crisis:27,81,calm,294.3552330998565,294.3552330998565,58.765303201065024,1000000.0,False,0.031598654709240365,0.15799327354620182,factor:missing factor returns;poet:insufficient observations for POET
17.0,2018-07-27T00:00:00,full,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,strict,0.0,0.0,0.0,,,detection_error,reports/rc-20251107/vol-tyler/resolved_config.json,0.014469916886061394,0.018665670738291954,0.014619057259526426,vol,3,26,0.0,0.0,off,off,0,0.0,0.0,0.0,,0.0,0.0,calm:26|mid:26|crisis:26,78,mid,281.43564325357914,281.43564325357914,58.27187339699857,1000000.0,False,0.04672443859753844,0.2336221929876922,factor:missing factor returns;poet:insufficient observations for POET
