stage,reason,count,injected_mu,inject_mode
pre_gate,edge_buffer,0,0.0,between
pre_gate,stability_fail,0,0.0,between
pre_gate,off_component_ratio,250,0.0,between
pre_gate,energy_floor,0,0.0,between
pre_gate,neg_mu,0,0.0,between
pre_gate,eps,0,0.0,between
pre_gate,tvec_compute_error,0,0.0,between
pre_gate,tvec_no_real_root,1671,0.0,between
pre_gate,tvec_no_admissible_root,1079,0.0,between
pre_gate,tvec_singularity,0,0.0,between
pre_gate,tvec_target_zero,0,0.0,between
pre_gate,tvec_off_component,8000,0.0,between
pre_gate,mu_nonfinite,0,0.0,between
pre_gate,unknown,0,0.0,between
post_gate,accepted,0,0.0,between
post_gate,inadmissible_root,0,0.0,between
post_gate,edge_margin,0,0.0,between
post_gate,nonisolated,0,0.0,between
post_gate,stability,0,0.0,between
post_gate,alignment,0,0.0,between
post_gate,delta_frac_min,0,0.0,between
post_gate,delta_frac_max,0,0.0,between
post_gate,soft_cap,0,0.0,between
post_gate,hard_cap,0,0.0,between
pre_gate,edge_buffer,0,12.0,between
pre_gate,stability_fail,0,12.0,between
pre_gate,off_component_ratio,0,12.0,between
pre_gate,energy_floor,0,12.0,between
pre_gate,neg_mu,0,12.0,between
pre_gate,eps,0,12.0,between
pre_gate,tvec_compute_error,0,12.0,between
pre_gate,tvec_no_real_root,190,12.0,between
pre_gate,tvec_no_admissible_root,98,12.0,between
pre_gate,tvec_singularity,0,12.0,between
pre_gate,tvec_target_zero,0,12.0,between
pre_gate,tvec_off_component,826,12.0,between
pre_gate,mu_nonfinite,0,12.0,between
pre_gate,unknown,0,12.0,between
post_gate,accepted,2,12.0,between
post_gate,inadmissible_root,0,12.0,between
post_gate,edge_margin,0,12.0,between
post_gate,nonisolated,0,12.0,between
post_gate,stability,0,12.0,between
post_gate,alignment,0,12.0,between
post_gate,delta_frac_min,0,12.0,between
post_gate,delta_frac_max,0,12.0,between
post_gate,soft_cap,0,12.0,between
post_gate,hard_cap,0,12.0,between
pre_gate,edge_buffer,0,24.0,between
pre_gate,stability_fail,0,24.0,between
pre_gate,off_component_ratio,0,24.0,between
pre_gate,energy_floor,0,24.0,between
pre_gate,neg_mu,0,24.0,between
pre_gate,eps,0,24.0,between
pre_gate,tvec_compute_error,0,24.0,between
pre_gate,tvec_no_real_root,190,24.0,between
pre_gate,tvec_no_admissible_root,98,24.0,between
pre_gate,tvec_singularity,0,24.0,between
pre_gate,tvec_target_zero,0,24.0,between
pre_gate,tvec_off_component,826,24.0,between
pre_gate,mu_nonfinite,0,24.0,between
pre_gate,unknown,0,24.0,between
post_gate,accepted,2,24.0,between
post_gate,inadmissible_root,0,24.0,between
post_gate,edge_margin,0,24.0,between
post_gate,nonisolated,0,24.0,between
post_gate,stability,0,24.0,between
post_gate,alignment,0,24.0,between
post_gate,delta_frac_min,0,24.0,between
post_gate,delta_frac_max,0,24.0,between
post_gate,soft_cap,0,24.0,between
post_gate,hard_cap,0,24.0,between
