,MKT,SMB,HML,RMW,CMA,MOM,intercept,r_squared
A,0.8622048178717101,0.062310279741570995,-0.256379457279917,-0.102216465868015,0.17222877824638208,-0.09275279437293002,7.330182321158276e-06,0.47798626386946386
AA,1.2454549764612333,0.7230031121642212,0.6197197864595103,-0.43829890478525757,0.4651480923310996,-0.16252193780543098,-0.00024767941504415264,0.36791093235767747
UFCS,0.7103884230012693,0.6868802776393861,0.5784536619216923,0.2146293366482775,0.18869881576339198,0.02189003907679133,-0.00033024637390161136,0.3642387888481726
UFPI,0.9563622584363289,1.2129512642484346,0.06491179609394829,0.6350807501420798,-0.08156451466222546,0.12396077246275032,7.162720372599464e-05,0.5579413562631254
UFPT,0.666957434304992,0.7688261470115619,0.004394389665738923,0.07369561665123643,-0.03870056842523536,0.09010070744097419,0.0009300554857463787,0.22948141902354713
UFS,0.9361396352195385,0.42604046487478764,0.09970364058014757,0.2942389616594522,0.3364741289031559,-0.3579752433734527,-0.0006726449953359138,0.4792156469129354
UG,0.26853780699587204,0.12364225363461075,0.039260273221042516,0.0604553633697421,0.1494256106104952,0.017375742194764062,-0.0003273842206366028,0.022425198998913154
UGA,0.5756292139329786,-0.19684680844084462,0.4409615728306009,-0.36579374395353503,0.3867720274215366,-0.02290953882060189,0.0004599389239163589,0.15268536337265226
UGE,1.2337019031035155,0.017547252669529164,-0.28684879311828787,0.09463701875934623,0.4180514878196502,-0.18373040198653293,-0.0003868583598467005,0.6034981507838398
UGI,0.6263481205650993,0.30804506818675337,0.21860463222939244,0.13001964319984327,0.45172491260157416,-0.2293250153944771,-0.0004827320858496304,0.3920884144064639
UGL,0.1580104703085658,0.13689812784897915,-0.2710445711568159,-0.2799808512911905,0.5728545211927354,0.07591800468020062,0.00045659419918877317,0.04893378320579256
UGP,0.8783980356212281,0.08263479231013726,0.3639524170778499,-0.3205787706441105,0.17830889165867803,-0.044468538295869144,-0.001191829767013062,0.17197205945060823
UHAL,0.666936322635148,0.23736077914107725,0.12372551538041546,0.22754318450965783,-0.22257230660600208,-0.0660178083220238,0.012932708489934818,0.05202491288842115
UHN,0.28196301004638824,-0.18159038000433259,0.09401120428761692,-1.499411880528512,0.9002466970585999,0.21662021591288133,0.0004855140657338128,0.3161250831256618
UHS,0.8027566961931963,0.38524690679018364,0.07849707538845888,0.34272267838840587,0.42141605948625593,-0.1978604331462139,-7.692824874391662e-05,0.3986703180661636
UHT,0.6791430172660247,0.7252495036099326,0.05609770692955777,0.41866811031466283,0.39430842673762845,-0.18043289907455393,-0.0006043084688475893,0.37882268885559645
UIHC,0.667259499938471,1.065742974256072,0.3693518878370274,-0.09270284906842882,-0.1814251582175123,-0.055469108167486764,-0.000869019676880602,0.1502352333184953
UIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UIS,1.131511616918335,1.1435644759644787,-0.1581262296378227,-0.14672155771229792,0.47687348962999704,-0.1299867566018445,-0.0004994363828219944,0.31389861036806344
UKK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UL,0.4429151552884954,-0.05463963102991885,-0.10419117611282382,0.188745770613081,0.29311743935786927,-0.046323213888331514,-0.00017797295444580262,0.22525091193204394
ULBI,0.6555710722940058,0.6474021802798264,0.02895436784576074,-0.16473933885879577,0.3433726075107997,0.047796197296448635,-0.0004631532117941844,0.12694819486789022
ULE,0.12861950447380116,0.02860999804091708,-0.02017462755695296,-0.1368630926569425,0.06548029173345664,-0.04149370828552412,-0.0003183792064912609,0.04918601716691229
ULST,0.005176244581978134,0.00389211242619229,-0.0030482982205982745,-0.0004537416792791625,0.009905844010715646,-0.0020500490641798597,1.4108641236546512e-05,0.01144720576468572
ULTA,0.7975151864723414,0.5203978451725716,-0.09847143539712125,0.3394901213112288,0.2318024689122516,-0.1658887756498508,0.0003565810041226836,0.3190789734959939
ULTI,0.8047331355825879,0.32762958809316783,-0.605491204250377,0.049705345049542896,-0.4230708534195559,0.3917044768056126,8.895889022983616e-05,0.5651860749905646
